model,accuracy,precision,recall,f1_score,roc_auc,false_positive_rate,false_negative_rate,true_negative,false_positive,false_negative,true_positive,test_samples
Decision Tree,0.9767869455297633,0.9877704609595485,0.9655172413793104,0.9765170890490583,0.9767843559837729,0.011948529411764705,0.034482758620689655,2150,26,75,2100,4351
Random Forest,0.9935646977706274,0.9899589228662711,0.9972413793103448,0.9935868071461291,0.9986575600067612,0.01011029411764706,0.002758620689655172,2154,22,6,2169,4351
SVM,0.8729027809698919,0.9787485242030697,0.7622988505747127,0.857069010080124,0.9879463531102097,0.016544117647058824,0.23770114942528736,2140,36,517,1658,4351
XGBoost,0.9919558722132843,0.987693710118505,0.9963218390804598,0.9919890135042344,0.9990440120013522,0.012408088235294117,0.0036781609195402297,2149,27,8,2167,4351
