model,accuracy,precision,recall,f1_score,roc_auc,false_positive_rate,false_negative_rate,true_negative,false_positive,false_negative,true_positive
decision_tree,0.4998850838887612,0.4998850838887612,1.0,0.6665645111860251,0.5,1.0,0.0,0,2176,0,2175
random_forest,0.4998850838887612,0.4998850838887612,1.0,0.6665645111860251,0.6290323909736308,1.0,0.0,0,2176,0,2175
svm,0.9085267754539187,0.9586990191017036,0.8537931034482759,0.9032101167315175,0.9863583924949288,0.03676470588235294,0.14620689655172414,2096,80,318,1857
xgboost,0.4998850838887612,0.4998850838887612,1.0,0.6665645111860251,0.9694227518593644,1.0,0.0,0,2176,0,2175
